xflr5 v6.61

Plane name :, 04_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.067909,   0.000267,   0.010218,   0.010485,   0.000000,  -0.000000,  -0.023850,   0.000000,  -0.000000,   26.7000,   -0.1022
   -2.500,     0.000,  -0.030386,   0.000062,   0.010030,   0.010092,   0.000000,  -0.000000,  -0.039396,  -0.000000,  -0.000000,   26.7000,   -0.3754
   -2.000,     0.000,   0.007146,   0.000014,   0.009869,   0.009883,   0.000000,  -0.000000,  -0.054954,  -0.000000,  -0.000000,   26.7000,    2.2207
   -1.500,     0.000,   0.044682,   0.000124,   0.009729,   0.009853,   0.000000,  -0.000000,  -0.070517,   0.000000,  -0.000000,   26.7000,    0.4550
   -1.000,     0.000,   0.082215,   0.000391,   0.009620,   0.010011,   0.000000,  -0.000000,  -0.086084,  -0.000000,  -0.000000,   26.7000,    0.3016
   -0.500,     0.000,   0.119736,   0.000815,   0.009537,   0.010352,   0.000000,   0.000000,  -0.101648,   0.000000,  -0.000000,   26.7000,    0.2443
    0.000,     0.000,   0.157240,   0.001397,   0.009534,   0.010931,   0.000000,  -0.000000,  -0.117205,  -0.000000,  -0.000000,   26.7000,    0.2144
    0.500,     0.000,   0.194719,   0.002135,   0.009722,   0.011857,   0.000000,   0.000000,  -0.132753,  -0.000000,  -0.000000,   26.7000,    0.1960
    1.000,     0.000,   0.232167,   0.003030,   0.009919,   0.012949,   0.000000,   0.000000,  -0.148286,   0.000000,  -0.000000,   26.7000,    0.1835
    1.500,     0.000,   0.269576,   0.004080,   0.010118,   0.014198,   0.000000,   0.000000,  -0.163801,  -0.000000,  -0.000000,   26.7000,    0.1746
    2.000,     0.000,   0.306939,   0.005285,   0.010310,   0.015595,   0.000000,   0.000000,  -0.179292,  -0.000000,   0.000000,   26.7000,    0.1678
    2.500,     0.000,   0.344250,   0.006645,   0.010468,   0.017113,   0.000000,   0.000000,  -0.194755,  -0.000000,  -0.000000,   26.7000,    0.1625
    3.000,     0.000,   0.381501,   0.008158,   0.010616,   0.018774,   0.000000,   0.000000,  -0.210184,  -0.000000,  -0.000000,   26.7000,    0.1583
    3.500,     0.000,   0.418687,   0.009824,   0.010763,   0.020587,   0.000000,   0.000000,  -0.225576,  -0.000000,  -0.000000,   26.7000,    0.1548
    4.000,     0.000,   0.455799,   0.011641,   0.010919,   0.022560,   0.000000,   0.000000,  -0.240926,   0.000000,   0.000000,   26.7000,    0.1519
    4.500,     0.000,   0.492832,   0.013608,   0.011096,   0.024704,   0.000000,   0.000000,  -0.256229,  -0.000000,  -0.000000,   26.7000,    0.1495
    5.000,     0.000,   0.529778,   0.015723,   0.011299,   0.027022,   0.000000,   0.000000,  -0.271482,  -0.000000,  -0.000000,   26.7000,    0.1474
