"In-flight Analysis - Mothership v0","","","","","","","","","","","","","","","","",""
"2201ft above Sea Level, 29.92inHg, 85°F","","","","","","","","","","","","","","","","",""

"Motor:",""," Scorpion SII-4025-520; 520rpm/V; 1.4A no-load; 0.016 Ohms.","","","","","","","","","","","","","","","",""
"Battery:",""," ProTek RC 6S (60C); 6 cells; 4500mAh @ 3.7V; 0.0055 Ohms/cell.","","","","","","","","","","","","","","","",""
"Speed Control:",""," Scorpion Tribunus II 06-120A; 0.0008 Ohms; High rate.","","","","","","","","","","","","","","","",""
"Drive System:",""," APC 14x12E; 14x12 (Pconst=1.37; Tconst=0.947) direct drive.","","","","","","","","","","","","","","","",""
"Airframe:",""," Mothership V0; 789sq.in; 438.5oz RTF; 80oz/sq.ft; Cd=0.045; Cl=0.27; Clopt=0.59; Clmax=0.99.","","","","","","","","","","","","","","","",""
"Stats:",""," 60 W/lb in; 50 W/lb out; 49mph stall; 63mph opt @ 69% (9:04, 150°F); 93mph level @ 99% (3:54, 262°F); 779ft/min @ 8.1°; -592ft/min @ -6.1°.","","","","","","","","","","","","","","","",""

"AirSpd (mph)","Drag (oz)","Lift (oz)","Batt Amps","Motor Amps","Motor Volts","Input (W)","Loss (W)","MGbOut (W)","MotGb Ef(%)","Shaft Ef(%)","Prop RPM","Thrust (oz)","PSpd (mph)","Prop Ef(%)","Total Ef(%)","Time (m:s)"
0.0,0.0,0.0,84.3,84.3,19.4,1630.6,266.3,1364.3,83.7,72.9,8562,160.5,97.3,0.0,0.0,3:12
1.0,0.0,0.1,84.3,84.3,19.4,1630.6,266.3,1364.3,83.7,72.9,8562,159.7,96.3,1.5,1.1,3:12
2.0,0.0,0.2,84.3,84.3,19.4,1630.6,266.3,1364.3,83.7,72.9,8562,158.9,95.3,2.9,2.1,3:12
3.0,0.1,0.5,84.3,84.3,19.4,1630.6,266.3,1364.3,83.7,72.9,8562,158.1,94.3,4.3,3.1,3:12
4.0,0.1,0.8,84.3,84.3,19.4,1630.8,266.5,1364.3,83.7,72.9,8561,157.3,93.3,5.7,4.2,3:12
5.0,0.2,1.3,84.3,84.3,19.4,1631.2,266.8,1364.3,83.6,72.9,8558,156.5,92.3,7.1,5.2,3:12
6.0,0.3,1.8,84.3,84.3,19.3,1631.6,267.2,1364.4,83.6,72.9,8556,155.7,91.2,8.5,6.2,3:12
7.0,0.4,2.5,84.4,84.4,19.3,1632.1,267.7,1364.4,83.6,72.9,8553,154.9,90.2,9.9,7.2,3:12
8.0,0.5,3.2,84.4,84.4,19.3,1632.6,268.2,1364.4,83.6,72.8,8550,154.2,89.2,11.2,8.2,3:12
9.0,0.7,4.1,84.4,84.4,19.3,1633.2,268.7,1364.5,83.5,72.8,8547,153.4,88.1,12.5,9.1,3:12
10.0,0.8,5.0,84.5,84.5,19.3,1633.9,269.4,1364.5,83.5,72.8,8543,152.6,87.1,13.9,10.1,3:12
11.0,1.0,6.1,84.5,84.5,19.3,1634.6,270.0,1364.5,83.5,72.7,8538,151.9,86.0,15.2,11.0,3:12
12.0,1.2,7.3,84.4,84.4,19.3,1632.4,272.2,1360.3,83.3,72.6,8525,150.8,84.9,16.5,12.0,3:12
13.0,1.4,8.5,84.4,84.4,19.3,1633.2,272.9,1360.2,83.3,72.6,8520,150.1,83.8,17.8,12.9,3:12
14.0,1.6,9.9,84.5,84.5,19.3,1633.9,273.7,1360.2,83.2,72.5,8515,149.3,82.8,19.1,13.8,3:12
15.0,1.9,11.3,84.5,84.5,19.3,1634.7,274.5,1360.1,83.2,72.5,8510,148.5,81.7,20.3,14.7,3:12
16.0,2.1,12.9,84.6,84.6,19.3,1635.5,275.4,1360.1,83.2,72.5,8505,147.8,80.7,21.6,15.6,3:12
17.0,2.4,14.6,84.6,84.6,19.3,1636.3,276.3,1360.0,83.1,72.4,8500,147.0,79.6,22.8,16.5,3:11
18.0,2.7,16.3,84.7,84.7,19.3,1637.1,277.1,1359.9,83.1,72.4,8494,146.3,78.5,24.0,17.4,3:11
19.0,3.0,18.2,84.7,84.7,19.3,1637.9,278.1,1359.9,83.0,72.3,8489,145.5,77.5,25.2,18.2,3:11
20.0,3.3,20.1,84.8,84.8,19.3,1638.8,279.0,1359.8,83.0,72.3,8483,144.8,76.4,26.4,19.1,3:11
21.0,3.7,22.2,84.8,84.8,19.3,1639.5,279.9,1359.7,82.9,72.2,8477,144.0,75.3,27.6,19.9,3:11
22.0,4.1,24.4,84.9,84.9,19.3,1640.3,280.8,1359.5,82.9,72.2,8472,143.2,74.3,28.7,20.7,3:11
23.0,4.4,26.6,84.9,84.9,19.3,1641.2,281.7,1359.4,82.8,72.1,8466,142.5,73.2,29.9,21.6,3:11
24.0,4.8,29.0,84.9,84.9,19.3,1641.9,282.6,1359.3,82.8,72.1,8460,141.7,72.1,31.0,22.4,3:11
25.0,5.2,31.5,85.0,85.0,19.3,1642.7,283.6,1359.1,82.7,72.0,8455,140.9,71.1,32.1,23.1,3:11
26.0,5.7,34.0,85.0,85.0,19.3,1643.4,284.4,1359.0,82.7,72.0,8449,140.1,70.0,33.2,23.9,3:11
