"In-flight Analysis - Untitled","","","","","","","","","","","","","","","","",""
"200ft above Sea Level, 29.92inHg, 58°F","","","","","","","","","","","","","","","","",""

"Motor:",""," Scorpion SII-4025-520; 520rpm/V; 1.4A no-load; 0.016 Ohms.","","","","","","","","","","","","","","","",""
"Battery:",""," Thunder Power TP5000 (G4 ProPower 45C) (45C); 7 cells; 5000mAh @ 3.7V; 0.001 Ohms/cell.","","","","","","","","","","","","","","","",""
"Speed Control:",""," Generic Brushless ESC; 0.006 Ohms; High rate.","","","","","","","","","","","","","","","",""
"Drive System:",""," Theoretical Prop; 15x8 (Pconst=1.31; Tconst=0.95) direct drive.","","","","","","","","","","","","","","","",""
"Airframe:",""," DBF Test 1; 720sq.in; 162.6oz RTF; 32.5oz/sq.ft; Cd=0.047; Cl=0.4; Clopt=0.53; Clmax=0.99.","","","","","","","","","","","","","","","",""
"Stats:",""," 195 W/lb in; 128 W/lb out; 29mph stall; 40mph opt @ 56% (37:38, 86°F); 47mph level @ 63% (35:29, 89°F); 3444ft/min @ 75.4°; -386ft/min @ -6.2°.","","","","","","","","","","","","","","","",""

"AirSpd (mph)","Drag (oz)","Lift (oz)","Batt Amps","Motor Amps","Motor Volts","Input (W)","Loss (W)","MGbOut (W)","MotGb Ef(%)","Shaft Ef(%)","Prop RPM","Thrust (oz)","PSpd (mph)","Prop Ef(%)","Total Ef(%)","Time (m:s)"
0.0,0.0,0.0,79.9,79.9,24.9,1986.7,686.8,1299.9,65.4,62.8,8609,200.9,65.2,0.0,0.0,3:45
1.0,0.0,0.1,79.9,79.9,24.9,1986.7,686.8,1299.9,65.4,62.8,8609,199.3,64.2,1.9,1.2,3:45
2.0,0.0,0.3,79.9,79.9,24.9,1986.7,686.8,1299.9,65.4,62.8,8609,197.8,63.2,3.8,2.4,3:45
3.0,0.1,0.7,79.9,79.9,24.9,1986.7,686.8,1299.9,65.4,62.8,8609,196.3,62.2,5.6,3.5,3:45
4.0,0.1,1.2,79.9,79.9,24.9,1986.7,686.9,1299.8,65.4,62.8,8609,194.7,61.2,7.4,4.7,3:45
5.0,0.2,1.9,79.9,79.9,24.9,1986.2,687.3,1298.9,65.4,62.8,8605,193.1,60.2,9.2,5.8,3:45
6.0,0.3,2.7,79.9,79.9,24.9,1985.7,687.7,1298.0,65.4,62.7,8602,191.5,59.2,11.0,6.9,3:45
7.0,0.4,3.7,79.8,79.8,24.9,1985.2,688.2,1297.0,65.3,62.7,8597,189.9,58.1,12.7,8.0,3:45
8.0,0.6,4.8,79.8,79.8,24.9,1984.6,688.6,1296.0,65.3,62.7,8593,188.3,57.1,14.4,9.0,3:45
9.0,0.7,6.1,79.8,79.8,24.9,1984.1,689.1,1295.0,65.3,62.7,8589,186.7,56.1,16.1,10.1,3:46
10.0,0.9,7.5,79.8,79.8,24.9,1983.5,689.6,1293.9,65.2,62.6,8584,185.1,55.0,17.7,11.1,3:46
11.0,1.1,9.0,79.8,79.8,24.9,1982.9,690.0,1292.9,65.2,62.6,8580,183.5,54.0,19.4,12.1,3:46
12.0,1.3,10.8,79.7,79.7,24.9,1982.4,690.4,1292.0,65.2,62.6,8577,181.9,53.0,21.0,13.1,3:46
13.0,1.5,12.6,79.7,79.7,24.9,1981.9,690.8,1291.1,65.1,62.5,8573,180.3,51.9,22.5,14.1,3:46
14.0,1.7,14.7,79.7,79.7,24.9,1981.6,691.1,1290.4,65.1,62.5,8570,178.7,50.9,24.0,15.0,3:46
15.0,2.0,16.8,79.7,79.7,24.9,1981.2,691.4,1289.8,65.1,62.5,8568,177.1,49.9,25.5,16.0,3:46
16.0,2.3,19.1,80.0,80.0,24.9,1989.8,691.2,1298.6,65.3,62.6,8586,176.5,49.1,27.0,16.9,3:45
17.0,2.6,21.6,80.0,80.0,24.9,1989.6,691.3,1298.3,65.3,62.6,8585,174.9,48.0,28.4,17.8,3:45
18.0,2.9,24.2,80.0,80.0,24.9,1989.3,691.2,1298.2,65.3,62.6,8586,173.3,47.0,29.8,18.7,3:45
19.0,3.2,27.0,80.0,80.0,24.9,1989.6,690.2,1299.4,65.3,62.7,8593,171.8,46.1,31.2,19.5,3:45
20.0,3.5,29.9,80.1,80.1,24.9,1990.8,688.3,1302.5,65.4,62.8,8608,170.4,45.2,32.5,20.4,3:45
21.0,3.9,33.0,80.2,80.2,24.9,1994.5,686.5,1308.0,65.6,62.9,8627,169.3,44.4,33.7,21.2,3:44
22.0,4.3,36.2,80.3,80.3,24.9,1995.5,683.4,1312.1,65.8,63.1,8649,167.9,43.5,34.9,22.0,3:44
23.0,4.7,39.6,80.4,80.4,24.9,1999.5,679.2,1320.2,66.0,63.4,8685,166.9,42.8,36.1,22.8,3:44
24.0,5.1,43.1,80.7,80.7,24.9,2004.8,674.3,1330.5,66.4,63.7,8728,166.0,42.1,37.1,23.6,3:43
25.0,5.5,46.7,80.9,80.9,24.8,2011.0,668.7,1342.3,66.7,64.0,8776,165.2,41.5,38.2,24.4,3:42
26.0,6.0,50.5,81.2,81.2,24.8,2018.0,662.4,1355.6,67.2,64.4,8830,164.5,40.9,39.1,25.2,3:42
27.0,6.5,54.5,81.6,81.6,24.8,2025.8,655.5,1370.3,67.6,64.9,8890,164.0,40.3,40.1,26.0,3:41
28.0,7.0,58.6,81.9,81.9,24.8,2034.0,647.9,1386.2,68.1,65.3,8954,163.5,39.8,40.9,26.8,3:40
29.0,7.5,62.9,82.3,82.3,24.8,2043.1,639.7,1403.4,68.7,65.9,9023,163.0,39.4,41.8,27.5,3:39
30.0,8.0,67.3,82.7,82.7,24.8,2052.9,630.8,1422.0,69.3,66.4,9096,162.7,38.9,42.6,28.3,3:38
31.0,8.5,71.9,83.1,83.1,24.8,2062.8,621.4,1441.4,69.9,67.0,9173,162.4,38.5,43.3,29.0,3:37
32.0,9.1,76.6,83.6,83.6,24.8,2073.5,611.5,1462.1,70.5,67.6,9253,162.2,38.1,44.0,29.7,3:35
33.0,9.7,81.4,84.0,84.0,24.8,2084.5,600.9,1483.6,71.2,68.2,9337,162.1,37.7,44.7,30.5,3:34
34.0,10.2,86.4,84.5,84.5,24.8,2095.7,589.7,1506.0,71.9,68.8,9424,162.0,37.4,45.3,31.2,3:33
35.0,10.9,91.6,85.0,85.0,24.8,2107.0,578.0,1529.0,72.6,69.5,9513,161.9,37.1,46.0,31.9,3:32
