#xflr5 v6.61

#Plane name :, Lark 8lb cg 0.04m behind c/4
#Polar name :, T1-24.59 m/s-VLM1
#Freestream speed :, 24.6 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.031549,   0.000368,   0.014937,   0.015304,  -0.000000,   0.000000,   0.036357,   0.000000,   0.000000,   24.5900,    0.3350
   -1.500,     0.000,   0.011047,   0.000278,   0.014788,   0.015067,  -0.000000,   0.000000,   0.029224,   0.000000,   0.000000,   24.5900,   -0.6234
   -1.000,     0.000,   0.053646,   0.000394,   0.014673,   0.015067,  -0.000000,   0.000000,   0.022043,   0.000000,   0.000000,   24.5900,   -0.0597
   -0.500,     0.000,   0.096239,   0.000714,   0.014642,   0.015356,  -0.000000,   0.000000,   0.014815,   0.000000,   0.000000,   24.5900,    0.0050
    0.000,     0.000,   0.138818,   0.001239,   0.014696,   0.015936,  -0.000000,   0.000000,   0.007545,   0.000000,   0.000000,   24.5900,    0.0300
    0.500,     0.000,   0.181373,   0.001969,   0.014873,   0.016842,  -0.000000,   0.000000,   0.000233,  -0.000000,   0.000000,   24.5900,    0.0432
    1.000,     0.000,   0.223897,   0.002902,   0.015063,   0.017965,   0.000000,   0.000000,  -0.007118,  -0.000000,  -0.000000,   24.5900,    0.0515
    1.500,     0.000,   0.266381,   0.004038,   0.015227,   0.019265,   0.000000,   0.000000,  -0.014505,  -0.000000,  -0.000000,   24.5900,    0.0571
    2.000,     0.000,   0.308816,   0.005378,   0.015382,   0.020760,   0.000000,   0.000000,  -0.021927,  -0.000000,  -0.000000,   24.5900,    0.0611
    2.500,     0.000,   0.351193,   0.006918,   0.015533,   0.022452,   0.000000,   0.000000,  -0.029381,  -0.000000,  -0.000000,   24.5900,    0.0642
    3.000,     0.000,   0.393505,   0.008660,   0.015678,   0.024338,   0.000000,   0.000000,  -0.036865,  -0.000000,  -0.000000,   24.5900,    0.0667
    3.500,     0.000,   0.435743,   0.010600,   0.015819,   0.026419,   0.000000,   0.000000,  -0.044377,  -0.000000,  -0.000000,   24.5900,    0.0686
    4.000,     0.000,   0.477898,   0.012739,   0.015973,   0.028712,   0.000000,   0.000000,  -0.051914,  -0.000000,  -0.000000,   24.5900,    0.0703
    4.500,     0.000,   0.519962,   0.015074,   0.016160,   0.031234,   0.000000,   0.000000,  -0.059473,  -0.000000,  -0.000000,   24.5900,    0.0716
    5.000,     0.000,   0.561926,   0.017604,   0.016380,   0.033983,   0.000000,   0.000000,  -0.067053,  -0.000000,  -0.000000,   24.5900,    0.0728
    5.500,     0.000,   0.603783,   0.020326,   0.016635,   0.036962,   0.000000,  -0.000000,  -0.074652,  -0.000000,  -0.000000,   24.5900,    0.0738
    6.000,     0.000,   0.645523,   0.023240,   0.016908,   0.040148,   0.000000,   0.000000,  -0.082266,  -0.000000,  -0.000000,   24.5900,    0.0747
    6.500,     0.000,   0.687140,   0.026343,   0.017200,   0.043542,   0.000000,  -0.000000,  -0.089893,  -0.000000,  -0.000000,   24.5900,    0.0755
    7.000,     0.000,   0.728624,   0.029632,   0.017509,   0.047141,   0.000000,   0.000000,  -0.097532,  -0.000000,  -0.000000,   24.5900,    0.0762
    7.500,     0.000,   0.769967,   0.033105,   0.017837,   0.050942,   0.000000,  -0.000000,  -0.105179,  -0.000000,  -0.000000,   24.5900,    0.0769
    8.000,     0.000,   0.811163,   0.036760,   0.018187,   0.054946,   0.000000,  -0.000000,  -0.112833,  -0.000000,  -0.000000,   24.5900,    0.0775
    8.500,     0.000,   0.852202,   0.040594,   0.018559,   0.059153,   0.000000,  -0.000000,  -0.120491,  -0.000000,  -0.000000,   24.5900,    0.0780
    9.000,     0.000,   0.893077,   0.044603,   0.018964,   0.063568,   0.000000,   0.000000,  -0.128150,  -0.000000,  -0.000000,   24.5900,    0.0785
    9.500,     0.000,   0.933779,   0.048786,   0.019398,   0.068185,   0.000000,  -0.000000,  -0.135809,  -0.000000,  -0.000000,   24.5900,    0.0790
   10.000,     0.000,   0.974303,   0.053139,   0.019865,   0.073005,   0.000000,   0.000000,  -0.143464,  -0.000000,  -0.000000,   24.5900,    0.0794


