#xflr5 v6.61

#Plane name :, Lark_Wing
#Polar name :, T1-35.8 m/s-VLM1-1.0kg-x0.3m
#Freestream speed :, 35.8 m/s

 alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.009373,   0.000042,   0.009088,   0.009130,   0.000000,  -0.000000,  -0.047287,  -0.000000,   0.000000,   35.7600,    1.6270
   -1.500,     0.000,   0.046409,   0.000159,   0.008993,   0.009152,   0.000000,  -0.000000,  -0.025238,   0.000000,  -0.000000,   35.7600,    0.3982
   -1.000,     0.000,   0.083442,   0.000430,   0.008919,   0.009349,   0.000000,  -0.000000,  -0.003184,   0.000000,   0.000000,   35.7600,    0.2602
   -0.500,     0.000,   0.120463,   0.000855,   0.008882,   0.009737,   0.000000,  -0.000000,   0.018871,  -0.000000,   0.000000,   35.7600,    0.2070
    0.000,     0.000,   0.157468,   0.001433,   0.008981,   0.010414,   0.000000,  -0.000000,   0.040919,  -0.000000,   0.000000,   35.7600,    0.1789
    0.500,     0.000,   0.194448,   0.002165,   0.009176,   0.011341,   0.000000,  -0.000000,   0.062955,  -0.000000,   0.000000,   35.7600,    0.1614
    1.000,     0.000,   0.231396,   0.003049,   0.009372,   0.012421,   0.000000,  -0.000000,   0.084973,   0.000000,   0.000000,   35.7600,    0.1496
    1.500,     0.000,   0.268307,   0.004085,   0.009476,   0.013561,   0.000000,   0.000000,   0.106966,   0.000000,   0.000000,   35.7600,    0.1410
    2.000,     0.000,   0.305174,   0.005273,   0.009596,   0.014869,   0.000000,   0.000000,   0.128926,  -0.000000,  -0.000000,   35.7600,    0.1345
    2.500,     0.000,   0.341989,   0.006612,   0.009737,   0.016349,   0.000000,  -0.000000,   0.150849,   0.000000,   0.000000,   35.7600,    0.1294
    3.000,     0.000,   0.378745,   0.008100,   0.009889,   0.017990,   0.000000,  -0.000000,   0.172727,   0.000000,   0.000000,   35.7600,    0.1253
    3.500,     0.000,   0.415437,   0.009738,   0.010042,   0.019780,   0.000000,  -0.000000,   0.194554,  -0.000000,   0.000000,   35.7600,    0.1220
    4.000,     0.000,   0.452057,   0.011523,   0.010193,   0.021716,   0.000000,  -0.000000,   0.216322,   0.000000,   0.000000,   35.7600,    0.1192
    4.500,     0.000,   0.488599,   0.013455,   0.010346,   0.023801,   0.000000,  -0.000000,   0.238025,   0.000000,   0.000000,   35.7600,    0.1168
    5.000,     0.000,   0.525056,   0.015532,   0.010538,   0.026070,   0.000000,  -0.000000,   0.259660,   0.000000,   0.000000,   35.7600,    0.1148
    5.500,     0.000,   0.561421,   0.017752,   0.010755,   0.028507,   0.000000,  -0.000000,   0.281217,  -0.000000,   0.000000,   35.7600,    0.1130
    6.000,     0.000,   0.597688,   0.020115,   0.010991,   0.031106,   0.000000,  -0.000000,   0.302692,   0.000000,   0.000000,   35.7600,    0.1115
    6.500,     0.000,   0.633851,   0.022619,   0.011247,   0.033866,   0.000000,  -0.000000,   0.324079,   0.000000,   0.000000,   35.7600,    0.1101
    7.000,     0.000,   0.669903,   0.025261,   0.011521,   0.036782,   0.000000,  -0.000000,   0.345370,   0.000000,   0.000000,   35.7600,    0.1090
    7.500,     0.000,   0.705837,   0.028039,   0.011812,   0.039851,   0.000000,  -0.000000,   0.366559,   0.000000,   0.000000,   35.7600,    0.1079
    8.000,     0.000,   0.741647,   0.030953,   0.012120,   0.043073,   0.000000,  -0.000000,   0.387641,   0.000000,   0.000000,   35.7600,    0.1069
    8.500,     0.000,   0.777328,   0.033999,   0.012446,   0.046445,   0.000000,  -0.000000,   0.408609,   0.000000,   0.000000,   35.7600,    0.1061
    9.000,     0.000,   0.812872,   0.037176,   0.012791,   0.049967,   0.000000,   0.000000,   0.429457,   0.000000,   0.000000,   35.7600,    0.1053
    9.500,     0.000,   0.848274,   0.040481,   0.013156,   0.053637,   0.000000,  -0.000000,   0.450180,   0.000000,   0.000000,   35.7600,    0.1046
   10.000,     0.000,   0.883527,   0.043912,   0.013543,   0.057455,   0.000000,  -0.000000,   0.470771,   0.000000,   0.000000,   35.7600,    0.1040


