#xflr5 v6.61

#Plane name :, Lark_Wing
#Polar name :, T1-24.59 m/s-VLM1 with viscous
#Freestream speed :, 24.6 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.009373,   0.000042,   0.010118,   0.010160,   0.000000,  -0.000000,  -0.055527,  -0.000000,  -0.000000,   24.5900,    1.6270
   -1.500,     0.000,   0.046409,   0.000159,   0.009975,   0.010134,   0.000000,  -0.000000,  -0.067373,   0.000000,  -0.000000,   24.5900,    0.3982
   -1.000,     0.000,   0.083442,   0.000430,   0.009862,   0.010292,   0.000000,  -0.000000,  -0.079220,   0.000000,  -0.000000,   24.5900,    0.2602
   -0.500,     0.000,   0.120463,   0.000855,   0.009838,   0.010693,   0.000000,  -0.000000,  -0.091065,  -0.000000,  -0.000000,   24.5900,    0.2070
    0.000,     0.000,   0.157468,   0.001433,   0.009899,   0.011332,   0.000000,  -0.000000,  -0.102904,  -0.000000,  -0.000000,   24.5900,    0.1789
    0.500,     0.000,   0.194448,   0.002165,   0.010074,   0.012239,   0.000000,  -0.000000,  -0.114734,   0.000000,  -0.000000,   24.5900,    0.1614
    1.000,     0.000,   0.231396,   0.003049,   0.010262,   0.013310,   0.000000,  -0.000000,  -0.126554,  -0.000000,  -0.000000,   24.5900,    0.1496
    1.500,     0.000,   0.268307,   0.004085,   0.010423,   0.014508,   0.000000,  -0.000000,  -0.138358,   0.000000,   0.000000,   24.5900,    0.1410
    2.000,     0.000,   0.305174,   0.005273,   0.010577,   0.015850,   0.000000,  -0.000000,  -0.150143,  -0.000000,  -0.000000,   24.5900,    0.1345
    2.500,     0.000,   0.341989,   0.006612,   0.010726,   0.017338,   0.000000,  -0.000000,  -0.161906,   0.000000,   0.000000,   24.5900,    0.1294
    3.000,     0.000,   0.378745,   0.008100,   0.010870,   0.018970,   0.000000,  -0.000000,  -0.173643,   0.000000,   0.000000,   24.5900,    0.1253
    3.500,     0.000,   0.415437,   0.009738,   0.011008,   0.020746,   0.000000,  -0.000000,  -0.185350,   0.000000,  -0.000000,   24.5900,    0.1220
    4.000,     0.000,   0.452057,   0.011523,   0.011158,   0.022681,   0.000000,  -0.000000,  -0.197024,   0.000000,  -0.000000,   24.5900,    0.1192
    4.500,     0.000,   0.488599,   0.013455,   0.011341,   0.024796,   0.000000,  -0.000000,  -0.208663,   0.000000,   0.000000,   24.5900,    0.1168
    5.000,     0.000,   0.525056,   0.015532,   0.011555,   0.027087,   0.000000,  -0.000000,  -0.220262,   0.000000,   0.000000,   24.5900,    0.1148
    5.500,     0.000,   0.561421,   0.017752,   0.011805,   0.029558,   0.000000,  -0.000000,  -0.231820,  -0.000000,  -0.000000,   24.5900,    0.1130
    6.000,     0.000,   0.597688,   0.020115,   0.012073,   0.032188,   0.000000,  -0.000000,  -0.243331,   0.000000,  -0.000000,   24.5900,    0.1115
    6.500,     0.000,   0.633851,   0.022619,   0.012358,   0.034977,   0.000000,  -0.000000,  -0.254793,   0.000000,  -0.000000,   24.5900,    0.1101
    7.000,     0.000,   0.669903,   0.025261,   0.012661,   0.037922,   0.000000,  -0.000000,  -0.266202,  -0.000000,   0.000000,   24.5900,    0.1090
    7.500,     0.000,   0.705837,   0.028039,   0.012982,   0.041021,   0.000000,  -0.000000,  -0.277555,  -0.000000,  -0.000000,   24.5900,    0.1079
    8.000,     0.000,   0.741647,   0.030953,   0.013323,   0.044276,   0.000000,  -0.000000,  -0.288849,   0.000000,   0.000000,   24.5900,    0.1069
    8.500,     0.000,   0.777328,   0.033999,   0.013687,   0.047687,   0.000000,  -0.000000,  -0.300081,   0.000000,   0.000000,   24.5900,    0.1061
    9.000,     0.000,   0.812872,   0.037176,   0.014074,   0.051250,   0.000000,  -0.000000,  -0.311247,   0.000000,   0.000000,   24.5900,    0.1053
    9.500,     0.000,   0.848274,   0.040481,   0.014486,   0.054967,   0.000000,  -0.000000,  -0.322345,   0.000000,   0.000000,   24.5900,    0.1046
   10.000,     0.000,   0.883527,   0.043912,   0.014924,   0.058836,   0.000000,  -0.000000,  -0.333370,   0.000000,  -0.000000,   24.5900,    0.1040


