"In-flight Analysis - Untitled","","","","","","","","","","","","","","","","",""
"200ft above Sea Level, 29.92inHg, 58°F","","","","","","","","","","","","","","","","",""

"Motor:",""," Scorpion SII-4025-520; 520rpm/V; 1.4A no-load; 0.016 Ohms.","","","","","","","","","","","","","","","",""
"Battery:",""," Thunder Power TP5000 (G4 ProPower 45C) (45C); 7 cells; 5000mAh @ 3.7V; 0.001 Ohms/cell.","","","","","","","","","","","","","","","",""
"Speed Control:",""," Generic Brushless ESC; 0.006 Ohms; High rate.","","","","","","","","","","","","","","","",""
"Drive System:",""," Theoretical Prop; 17x8 (Pconst=1.31; Tconst=0.95) direct drive.","","","","","","","","","","","","","","","",""
"Airframe:",""," DBF Test 1; 720sq.in; 162.6oz RTF; 32.5oz/sq.ft; Cd=0.047; Cl=0.4; Clopt=0.53; Clmax=0.99.","","","","","","","","","","","","","","","",""
"Stats:",""," 174 W/lb in; 83 W/lb out; 29mph stall; 40mph opt @ 60% (38:27, 87°F); 47mph level @ 69% (28:33, 92°F); 2994ft/min @ 57.3°; -386ft/min @ -6.2°.","","","","","","","","","","","","","","","",""

"AirSpd (mph)","Drag (oz)","Lift (oz)","Batt Amps","Motor Amps","Motor Volts","Input (W)","Loss (W)","MGbOut (W)","MotGb Ef(%)","Shaft Ef(%)","Prop RPM","Thrust (oz)","PSpd (mph)","Prop Ef(%)","Total Ef(%)","Time (m:s)"
0.0,0.0,0.0,70.8,70.8,25.0,1768.3,927.4,840.8,47.6,45.9,6301,172.1,47.7,0.0,0.0,4:14
1.0,0.0,0.1,70.8,70.8,25.0,1768.3,927.4,840.8,47.6,45.9,6301,170.3,46.7,2.5,1.2,4:14
2.0,0.0,0.3,70.8,70.8,25.0,1768.3,927.4,840.8,47.6,45.9,6301,168.5,45.7,5.0,2.3,4:14
3.0,0.1,0.7,70.8,70.8,25.0,1768.2,927.4,840.8,47.5,45.9,6301,166.7,44.7,7.4,3.4,4:14
4.0,0.1,1.2,70.8,70.8,25.0,1767.8,927.5,840.2,47.5,45.8,6299,164.8,43.7,9.7,4.5,4:14
5.0,0.2,1.9,70.8,70.8,25.0,1767.9,927.8,840.1,47.5,45.8,6297,163.0,42.7,12.0,5.5,4:14
6.0,0.3,2.7,70.8,70.8,25.0,1768.1,928.1,840.0,47.5,45.8,6295,161.2,41.7,14.3,6.5,4:14
7.0,0.4,3.7,70.8,70.8,25.0,1768.5,928.5,840.0,47.5,45.8,6294,159.5,40.7,16.5,7.5,4:14
8.0,0.6,4.8,70.8,70.8,25.0,1768.9,928.8,840.1,47.5,45.8,6293,157.7,39.7,18.6,8.5,4:14
9.0,0.7,6.1,70.8,70.8,25.0,1769.5,929.2,840.3,47.5,45.8,6292,155.9,38.7,20.7,9.5,4:14
10.0,0.9,7.5,70.9,70.9,25.0,1770.3,929.5,840.7,47.5,45.8,6293,154.2,37.7,22.7,10.4,4:14
11.0,1.1,9.0,71.0,71.0,25.0,1772.8,930.2,842.6,47.5,45.8,6297,152.7,36.7,24.7,11.3,4:14
12.0,1.3,10.8,71.3,71.3,25.0,1781.1,931.9,849.2,47.7,46.0,6316,151.7,35.8,26.6,12.2,4:12
13.0,1.5,12.6,71.7,71.7,25.0,1789.1,932.5,856.7,47.9,46.2,6341,150.7,35.0,28.3,13.1,4:11
14.0,1.7,14.7,72.4,72.4,25.0,1807.8,935.0,872.8,48.3,46.5,6389,150.7,34.4,30.0,13.9,4:09
15.0,2.0,16.8,73.0,73.0,25.0,1821.9,934.7,887.1,48.7,46.9,6441,150.3,33.8,31.5,14.8,4:07
16.0,2.3,19.1,73.5,73.5,24.9,1833.6,932.8,900.8,49.1,47.3,6496,149.7,33.2,33.0,15.6,4:05
17.0,2.6,21.6,73.9,73.9,24.9,1843.7,929.4,914.3,49.6,47.7,6555,149.1,32.7,34.4,16.4,4:03
18.0,2.9,24.2,74.2,74.2,24.9,1851.1,924.5,926.6,50.1,48.2,6615,148.2,32.1,35.7,17.2,4:02
19.0,3.2,27.0,74.5,74.5,24.9,1856.5,918.1,938.3,50.5,48.7,6679,147.2,31.6,37.0,18.0,4:02
20.0,3.5,29.9,74.6,74.6,24.9,1860.5,910.6,949.9,51.1,49.1,6745,146.1,31.1,38.1,18.7,4:01
21.0,3.9,33.0,74.8,74.8,24.9,1863.8,902.1,961.7,51.6,49.7,6816,145.0,30.6,39.2,19.5,4:01
22.0,4.3,36.2,75.0,75.0,24.9,1868.9,893.2,975.7,52.2,50.2,6896,144.1,30.2,40.3,20.2,4:00
23.0,4.7,39.6,75.3,75.3,24.9,1876.8,884.2,992.6,52.9,50.9,6984,143.5,29.9,41.2,21.0,3:59
24.0,5.1,43.1,75.6,75.6,24.9,1884.6,874.0,1010.7,53.6,51.6,7079,142.9,29.6,42.1,21.7,3:58
25.0,5.5,46.7,75.9,75.9,24.9,1890.6,862.2,1028.4,54.4,52.3,7179,142.3,29.4,42.9,22.4,3:57
26.0,6.0,50.5,76.1,76.1,24.9,1894.8,849.0,1045.8,55.2,53.1,7284,141.5,29.2,43.6,23.2,3:57
27.0,6.5,54.5,76.2,76.2,24.9,1898.1,834.8,1063.3,56.0,53.9,7392,140.8,29.0,44.3,23.9,3:56
28.0,7.0,58.6,76.3,76.3,24.9,1901.5,819.6,1081.8,56.9,54.7,7507,140.1,28.9,45.0,24.6,3:56
29.0,7.5,62.9,76.5,76.5,24.9,1905.3,803.9,1101.4,57.8,55.6,7626,139.5,28.8,45.5,25.3,3:55
30.0,8.0,67.3,76.7,76.7,24.9,1910.6,787.7,1122.9,58.8,56.5,7752,139.1,28.7,46.1,26.0,3:55
31.0,8.5,71.9,77.0,77.0,24.9,1918.2,771.3,1146.8,59.8,57.5,7884,138.9,28.7,46.6,26.8,3:54
32.0,9.1,76.6,77.5,77.5,24.9,1928.2,754.8,1173.4,60.9,58.5,8022,139.0,28.8,47.0,27.5,3:52
