xflr5 v6.61

Plane name :, 03_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.068270,   0.000265,   0.010240,   0.010506,   0.000000,  -0.000000,  -0.021094,   0.000000,  -0.000000,   26.7000,   -0.0930
   -2.500,     0.000,  -0.030714,   0.000059,   0.010052,   0.010112,   0.000000,  -0.000000,  -0.037887,  -0.000000,  -0.000000,   26.7000,   -0.3686
   -2.000,     0.000,   0.006852,   0.000011,   0.009891,   0.009902,   0.000000,  -0.000000,  -0.054692,  -0.000000,  -0.000000,   26.7000,    2.3780
   -1.500,     0.000,   0.044421,   0.000121,   0.009749,   0.009870,   0.000000,   0.000000,  -0.071504,  -0.000000,  -0.000000,   26.7000,    0.4787
   -1.000,     0.000,   0.081986,   0.000388,   0.009638,   0.010026,   0.000000,   0.000000,  -0.088319,   0.000000,  -0.000000,   26.7000,    0.3200
   -0.500,     0.000,   0.119540,   0.000813,   0.009552,   0.010365,   0.000000,   0.000000,  -0.105132,  -0.000000,  -0.000000,   26.7000,    0.2610
    0.000,     0.000,   0.157077,   0.001395,   0.009543,   0.010938,   0.000000,   0.000000,  -0.121937,  -0.000000,  -0.000000,   26.7000,    0.2303
    0.500,     0.000,   0.194588,   0.002134,   0.009729,   0.011863,   0.000000,   0.000000,  -0.138732,  -0.000000,  -0.000000,   26.7000,    0.2114
    1.000,     0.000,   0.232067,   0.003030,   0.009923,   0.012953,   0.000000,   0.000000,  -0.155511,  -0.000000,  -0.000000,   26.7000,    0.1986
    1.500,     0.000,   0.269507,   0.004083,   0.010118,   0.014200,   0.000000,   0.000000,  -0.172271,  -0.000000,  -0.000000,   26.7000,    0.1894
    2.000,     0.000,   0.306901,   0.005290,   0.010305,   0.015595,   0.000000,   0.000000,  -0.189005,  -0.000000,  -0.000000,   26.7000,    0.1825
    2.500,     0.000,   0.344243,   0.006652,   0.010462,   0.017114,   0.000000,   0.000000,  -0.205709,  -0.000000,  -0.000000,   26.7000,    0.1771
    3.000,     0.000,   0.381525,   0.008168,   0.010603,   0.018771,   0.000000,   0.000000,  -0.222376,  -0.000000,  -0.000000,   26.7000,    0.1727
    3.500,     0.000,   0.418741,   0.009837,   0.010750,   0.020587,   0.000000,   0.000000,  -0.239003,  -0.000000,  -0.000000,   26.7000,    0.1692
    4.000,     0.000,   0.455883,   0.011657,   0.010913,   0.022569,   0.000000,   0.000000,  -0.255585,  -0.000000,  -0.000000,   26.7000,    0.1662
    4.500,     0.000,   0.492945,   0.013627,   0.011095,   0.024722,   0.000000,   0.000000,  -0.272116,  -0.000000,  -0.000000,   26.7000,    0.1637
    5.000,     0.000,   0.529920,   0.015746,   0.011300,   0.027045,   0.000000,   0.000000,  -0.288593,  -0.000000,   0.000000,   26.7000,    0.1616
    5.500,     0.000,   0.566801,   0.018012,   0.011536,   0.029548,   0.000000,   0.000000,  -0.305011,  -0.000000,   0.000000,   26.7000,    0.1597
    6.000,     0.000,   0.603583,   0.020424,   0.011798,   0.032222,   0.000000,   0.000000,  -0.321366,  -0.000000,  -0.000000,   26.7000,    0.1581
    6.500,     0.000,   0.640257,   0.022980,   0.012080,   0.035060,   0.000000,   0.000000,  -0.337651,  -0.000000,  -0.000000,   26.7000,    0.1567
    7.000,     0.000,   0.676817,   0.025678,   0.012381,   0.038059,   0.000000,   0.000000,  -0.353862,  -0.000000,  -0.000000,   26.7000,    0.1555
    7.500,     0.000,   0.713258,   0.028516,   0.012702,   0.041218,   0.000000,   0.000000,  -0.369996,  -0.000000,  -0.000000,   26.7000,    0.1544
    8.000,     0.000,   0.749572,   0.031493,   0.013044,   0.044537,   0.000000,   0.000000,  -0.386046,  -0.000000,  -0.000000,   26.7000,    0.1534
    8.500,     0.000,   0.785754,   0.034605,   0.013408,   0.048012,   0.000000,   0.000000,  -0.402009,  -0.000000,  -0.000000,   26.7000,    0.1525
    9.000,     0.000,   0.821795,   0.037851,   0.013793,   0.051644,   0.000000,   0.000000,  -0.417880,   0.000000,   0.000000,   26.7000,    0.1518
    9.500,     0.000,   0.857692,   0.041228,   0.014204,   0.055432,   0.000000,   0.000000,  -0.433655,  -0.000000,  -0.000000,   26.7000,    0.1511
   10.000,     0.000,   0.893436,   0.044734,   0.014643,   0.059377,   0.000000,   0.000000,  -0.449329,  -0.000000,   0.000000,   26.7000,    0.1504
   10.500,     0.000,   0.929023,   0.048366,   0.015111,   0.063478,   0.000000,   0.000000,  -0.464898,  -0.000000,  -0.000000,   26.7000,    0.1499
   11.000,     0.000,   0.964446,   0.052122,   0.015615,   0.067737,   0.000000,   0.000000,  -0.480359,  -0.000000,   0.000000,   26.7000,    0.1494
   11.500,     0.000,   0.999698,   0.055999,   0.016158,   0.072157,   0.000000,   0.000000,  -0.495707,  -0.000000,   0.000000,   26.7000,    0.1489
   12.000,     0.000,   1.034775,   0.059993,   0.016749,   0.076742,   0.000000,   0.000000,  -0.510940,  -0.000000,   0.000000,   26.7000,    0.1485
   12.500,     0.000,   1.069670,   0.064103,   0.017402,   0.081505,   0.000000,   0.000000,  -0.526054,  -0.000000,  -0.000000,   26.7000,    0.1481
   13.000,     0.000,   1.104378,   0.068325,   0.018145,   0.086469,   0.000000,   0.000000,  -0.541049,  -0.000000,   0.000000,   26.7000,    0.1478
   13.500,     0.000,   1.138892,   0.072655,   0.019015,   0.091670,   0.000000,   0.000000,  -0.555926,  -0.000000,   0.000000,   26.7000,    0.1475
   14.000,     0.000,   1.173208,   0.077091,   0.020076,   0.097167,   0.000000,   0.000000,  -0.570690,  -0.000000,  -0.000000,   26.7000,    0.1472
   14.500,     0.000,   1.207319,   0.081629,   0.021462,   0.103091,   0.000000,   0.000000,  -0.585356,  -0.000000,   0.000000,   26.7000,    0.1470


