xflr5 v6.61

Plane name :, 02_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.068220,   0.000262,   0.010257,   0.010519,   0.000000,  -0.000000,  -0.018494,  -0.000000,  -0.000000,   26.7000,   -0.0858
   -2.500,     0.000,  -0.030857,   0.000057,   0.010074,   0.010132,   0.000000,  -0.000000,  -0.036293,  -0.000000,  -0.000000,   26.7000,   -0.3691
   -2.000,     0.000,   0.006515,   0.000010,   0.009916,   0.009926,   0.000000,  -0.000000,  -0.054105,  -0.000000,  -0.000000,   26.7000,    2.5974
   -1.500,     0.000,   0.043890,   0.000120,   0.009775,   0.009895,   0.000000,  -0.000000,  -0.071925,  -0.000000,  -0.000000,   26.7000,    0.5116
   -1.000,     0.000,   0.081261,   0.000387,   0.009663,   0.010051,   0.000000,  -0.000000,  -0.089748,  -0.000000,  -0.000000,   26.7000,    0.3444
   -0.500,     0.000,   0.118621,   0.000812,   0.009575,   0.010387,   0.000000,   0.000000,  -0.107569,  -0.000000,  -0.000000,   26.7000,    0.2825
    0.000,     0.000,   0.155962,   0.001394,   0.009561,   0.010955,   0.000000,   0.000000,  -0.125382,  -0.000000,  -0.000000,   26.7000,    0.2503
    0.500,     0.000,   0.193278,   0.002132,   0.009735,   0.011867,   0.000000,  -0.000000,  -0.143183,  -0.000000,  -0.000000,   26.7000,    0.2305
    1.000,     0.000,   0.230561,   0.003027,   0.009921,   0.012948,   0.000000,   0.000000,  -0.160968,  -0.000000,  -0.000000,   26.7000,    0.2172
    1.500,     0.000,   0.267806,   0.004078,   0.010106,   0.014184,   0.000000,   0.000000,  -0.178732,  -0.000000,  -0.000000,   26.7000,    0.2076
    2.000,     0.000,   0.305005,   0.005283,   0.010286,   0.015569,   0.000000,   0.000000,  -0.196469,  -0.000000,  -0.000000,   26.7000,    0.2003
    2.500,     0.000,   0.342150,   0.006643,   0.010437,   0.017080,   0.000000,   0.000000,  -0.214174,  -0.000000,  -0.000000,   26.7000,    0.1947
    3.000,     0.000,   0.379236,   0.008156,   0.010579,   0.018735,   0.000000,   0.000000,  -0.231840,  -0.000000,   0.000000,   26.7000,    0.1901
    3.500,     0.000,   0.416256,   0.009821,   0.010727,   0.020548,   0.000000,   0.000000,  -0.249464,  -0.000000,  -0.000000,   26.7000,    0.1864
    4.000,     0.000,   0.453202,   0.011637,   0.010895,   0.022533,   0.000000,   0.000000,  -0.267039,  -0.000000,  -0.000000,   26.7000,    0.1834
    4.500,     0.000,   0.490068,   0.013603,   0.011083,   0.024686,   0.000000,   0.000000,  -0.284562,   0.000000,   0.000000,   26.7000,    0.1807
    5.000,     0.000,   0.526846,   0.015718,   0.011290,   0.027008,   0.000000,   0.000000,  -0.302027,   0.000000,  -0.000000,   26.7000,    0.1785
    5.500,     0.000,   0.563532,   0.017979,   0.011527,   0.029506,   0.000000,   0.000000,  -0.319430,  -0.000000,  -0.000000,   26.7000,    0.1766
    6.000,     0.000,   0.600117,   0.020385,   0.011786,   0.032172,   0.000000,   0.000000,  -0.336764,  -0.000000,  -0.000000,   26.7000,    0.1749
    6.500,     0.000,   0.636595,   0.022935,   0.012066,   0.035001,   0.000000,   0.000000,  -0.354026,  -0.000000,   0.000000,   26.7000,    0.1735
    7.000,     0.000,   0.672959,   0.025627,   0.012367,   0.037994,   0.000000,  -0.000000,  -0.371209,  -0.000000,  -0.000000,   26.7000,    0.1722
    7.500,     0.000,   0.709204,   0.028458,   0.012689,   0.041147,   0.000000,   0.000000,  -0.388310,  -0.000000,   0.000000,   26.7000,    0.1711
    8.000,     0.000,   0.745323,   0.031427,   0.013033,   0.044460,   0.000000,   0.000000,  -0.405324,  -0.000000,  -0.000000,   26.7000,    0.1701
    8.500,     0.000,   0.781308,   0.034531,   0.013401,   0.047932,   0.000000,   0.000000,  -0.422244,  -0.000000,  -0.000000,   26.7000,    0.1692
    9.000,     0.000,   0.817155,   0.037769,   0.013794,   0.051563,   0.000000,   0.000000,  -0.439068,  -0.000000,  -0.000000,   26.7000,    0.1684
    9.500,     0.000,   0.852856,   0.041137,   0.014214,   0.055351,   0.000000,   0.000000,  -0.455790,  -0.000000,   0.000000,   26.7000,    0.1676
   10.000,     0.000,   0.888406,   0.044634,   0.014664,   0.059299,   0.000000,   0.000000,  -0.472406,  -0.000000,   0.000000,   26.7000,    0.1670
   10.500,     0.000,   0.923798,   0.048257,   0.015150,   0.063406,   0.000000,   0.000000,  -0.488912,  -0.000000,   0.000000,   26.7000,    0.1664
   11.000,     0.000,   0.959026,   0.052002,   0.015678,   0.067680,   0.000000,   0.000000,  -0.505304,  -0.000000,   0.000000,   26.7000,    0.1659


