xflr5 v6.61

Plane name :, 08_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.065750,   0.000264,   0.010187,   0.010451,   0.000000,   0.000000,  -0.032890,  -0.000000,  -0.000000,   26.7000,   -0.1371
   -2.500,     0.000,  -0.028925,   0.000072,   0.010003,   0.010075,   0.000000,   0.000000,  -0.043588,   0.000000,  -0.000000,   26.7000,   -0.4121
   -2.000,     0.000,   0.007910,   0.000032,   0.009846,   0.009878,   0.000000,   0.000000,  -0.054292,  -0.000000,  -0.000000,   26.7000,    1.8743
   -1.500,     0.000,   0.044749,   0.000144,   0.009710,   0.009854,   0.000000,   0.000000,  -0.065002,   0.000000,   0.000000,   26.7000,    0.3962
   -1.000,     0.000,   0.081586,   0.000408,   0.009607,   0.010015,   0.000000,   0.000000,  -0.075712,  -0.000000,  -0.000000,   26.7000,    0.2529
   -0.500,     0.000,   0.118412,   0.000824,   0.009528,   0.010352,   0.000000,   0.000000,  -0.086421,  -0.000000,  -0.000000,   26.7000,    0.1987
    0.000,     0.000,   0.155222,   0.001393,   0.009547,   0.010940,   0.000000,   0.000000,  -0.097124,   0.000000,  -0.000000,   26.7000,    0.1703
    0.500,     0.000,   0.192008,   0.002113,   0.009724,   0.011836,   0.000000,   0.000000,  -0.107820,   0.000000,  -0.000000,   26.7000,    0.1528
    1.000,     0.000,   0.228764,   0.002984,   0.009919,   0.012903,   0.000000,   0.000000,  -0.118506,   0.000000,   0.000000,   26.7000,    0.1409
    1.500,     0.000,   0.265483,   0.004006,   0.010120,   0.014126,   0.000000,   0.000000,  -0.129179,   0.000000,  -0.000000,   26.7000,    0.1323
    2.000,     0.000,   0.302159,   0.005178,   0.010304,   0.015483,   0.000000,   0.000000,  -0.139836,   0.000000,   0.000000,   26.7000,    0.1258
    2.500,     0.000,   0.338784,   0.006500,   0.010466,   0.016966,   0.000000,   0.000000,  -0.150473,  -0.000000,  -0.000000,   26.7000,    0.1207
    3.000,     0.000,   0.375352,   0.007970,   0.010618,   0.018588,   0.000000,   0.000000,  -0.161086,  -0.000000,   0.000000,   26.7000,    0.1166
    3.500,     0.000,   0.411857,   0.009588,   0.010764,   0.020352,   0.000000,   0.000000,  -0.171673,  -0.000000,  -0.000000,   26.7000,    0.1133
    4.000,     0.000,   0.448291,   0.011352,   0.010918,   0.022271,   0.000000,   0.000000,  -0.182231,   0.000000,  -0.000000,   26.7000,    0.1105
    4.500,     0.000,   0.484648,   0.013262,   0.011096,   0.024357,   0.000000,   0.000000,  -0.192756,  -0.000000,  -0.000000,   26.7000,    0.1081
    5.000,     0.000,   0.520921,   0.015315,   0.011314,   0.026629,   0.000000,   0.000000,  -0.203247,  -0.000000,   0.000000,   26.7000,    0.1061
    5.500,     0.000,   0.557104,   0.017511,   0.011555,   0.029066,   0.000000,   0.000000,  -0.213700,   0.000000,   0.000000,   26.7000,    0.1044
    6.000,     0.000,   0.593191,   0.019848,   0.011817,   0.031664,   0.000000,   0.000000,  -0.224111,  -0.000000,   0.000000,   26.7000,    0.1028
    6.500,     0.000,   0.629175,   0.022324,   0.012097,   0.034421,   0.000000,   0.000000,  -0.234478,  -0.000000,  -0.000000,   26.7000,    0.1015
    7.000,     0.000,   0.665049,   0.024937,   0.012395,   0.037332,   0.000000,   0.000000,  -0.244797,  -0.000000,  -0.000000,   26.7000,    0.1003
    7.500,     0.000,   0.700807,   0.027687,   0.012711,   0.040398,   0.000000,   0.000000,  -0.255067,  -0.000000,   0.000000,   26.7000,    0.0993
    8.000,     0.000,   0.736443,   0.030570,   0.013047,   0.043616,   0.000000,   0.000000,  -0.265283,  -0.000000,  -0.000000,   26.7000,    0.0983
    8.500,     0.000,   0.771951,   0.033584,   0.013405,   0.046989,   0.000000,   0.000000,  -0.275443,  -0.000000,   0.000000,   26.7000,    0.0975
    9.000,     0.000,   0.807324,   0.036729,   0.013786,   0.050515,   0.000000,   0.000000,  -0.285544,  -0.000000,   0.000000,   26.7000,    0.0967
    9.500,     0.000,   0.842556,   0.040000,   0.014191,   0.054191,   0.000000,   0.000000,  -0.295583,  -0.000000,  -0.000000,   26.7000,    0.0960
   10.000,     0.000,   0.877642,   0.043396,   0.014623,   0.058019,   0.000000,   0.000000,  -0.305558,  -0.000000,   0.000000,   26.7000,    0.0954
   10.500,     0.000,   0.912575,   0.046915,   0.015086,   0.062001,   0.000000,   0.000000,  -0.315465,  -0.000000,  -0.000000,   26.7000,    0.0948
   11.000,     0.000,   0.947349,   0.050554,   0.015583,   0.066137,   0.000000,   0.000000,  -0.325303,  -0.000000,   0.000000,   26.7000,    0.0943
   11.500,     0.000,   0.981959,   0.054309,   0.016121,   0.070431,   0.000000,   0.000000,  -0.335069,   0.000000,   0.000000,   26.7000,    0.0938
   12.000,     0.000,   1.016398,   0.058180,   0.016705,   0.074884,   0.000000,  -0.000000,  -0.344760,  -0.000000,   0.000000,   26.7000,    0.0934
   12.500,     0.000,   1.050661,   0.062161,   0.017343,   0.079504,   0.000000,   0.000000,  -0.354375,  -0.000000,  -0.000000,   26.7000,    0.0930
   13.000,     0.000,   1.084743,   0.066252,   0.018052,   0.084304,   0.000000,   0.000000,  -0.363912,  -0.000000,  -0.000000,   26.7000,    0.0926
   13.500,     0.000,   1.118638,   0.070448,   0.018872,   0.089320,   0.000000,   0.000000,  -0.373371,  -0.000000,   0.000000,   26.7000,    0.0923
   14.000,     0.000,   1.152340,   0.074747,   0.019867,   0.094614,   0.000000,   0.000000,  -0.382755,  -0.000000,  -0.000000,   26.7000,    0.0920
   14.500,     0.000,   1.185844,   0.079145,   0.021101,   0.100245,   0.000000,   0.000000,  -0.392066,  -0.000000,  -0.000000,   26.7000,    0.0917
